idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1971,07/03/2020,Tr,NO,SI,01,04,08,11,36,09
1970,04/03/2020,Re,NO,SI,05,12,14,15,40,05
1970,04/03/2020,Tr,NO,SI,04,09,14,31,34,15
1969,29/02/2020,Re,NO,SI,02,07,15,16,22,04
1969,29/02/2020,Tr,NO,SI,05,23,26,32,38,11
1968,26/02/2020,Re,NO,SI,01,11,23,30,32,14
1968,26/02/2020,Tr,NO,SI,05,08,12,17,43,09
1967,22/02/2020,Re,NO,SI,05,11,22,27,35,15
1967,22/02/2020,Tr,NO,SI,19,20,24,34,43,05
1966,19/02/2020,Re,NO,SI,01,05,15,18,39,07
1966,19/02/2020,Tr,NO,SI,01,14,18,22,43,06
1965,15/02/2020,Re,NO,SI,03,27,35,39,42,15
1965,15/02/2020,Tr,NO,SI,05,08,10,13,20,08
1964,12/02/2020,Re,NO,SI,06,11,28,34,39,11
1964,12/02/2020,Tr,NO,SI,10,15,20,32,41,14
1963,08/02/2020,Re,NO,SI,03,06,07,21,34,05
1963,08/02/2020,Tr,NO,SI,04,12,15,33,42,03
1962,05/02/2020,Re,NO,SI,04,08,22,25,28,14
1962,05/02/2020,Tr,NO,SI,06,14,25,29,42,13
1961,01/02/2020,Re,NO,SI,02,10,13,16,26,11
1961,01/02/2020,Tr,NO,SI,01,18,19,34,40,02
1960,29/01/2020,Re,NO,SI,06,19,31,33,39,05
1960,29/01/2020,Tr,NO,SI,17,21,32,36,37,03
1959,25/01/2020,Re,NO,SI,09,16,26,29,31,16
1959,25/01/2020,Tr,NO,SI,12,22,30,31,34,07
1958,22/01/2020,Re,NO,SI,04,26,32,36,42,04
1958,22/01/2020,Tr,NO,SI,01,07,10,25,27,02
1957,18/01/2020,Re,NO,SI,08,17,18,37,42,11
1957,18/01/2020,Tr,NO,SI,02,08,09,25,33,12
1956,15/01/2020,Re,NO,SI,04,13,18,29,37,13
1956,15/01/2020,Tr,NO,SI,16,28,37,42,43,09
1955,11/01/2020,Re,NO,SI,10,20,23,28,39,08
1955,11/01/2020,Tr,NO,SI,01,04,29,32,33,02
1954,08/01/2020,Re,NO,SI,04,15,17,19,25,01
1954,08/01/2020,Tr,NO,SI,10,11,15,28,35,11
1953,04/01/2020,Re,NO,SI,04,08,16,31,37,07
1953,04/01/2020,Tr,NO,SI,04,09,15,24,29,07
1952,01/01/2020,Re,NO,SI,08,18,19,22,38,11
1952,01/01/2020,Tr,NO,SI,24,26,35,36,41,09
1951,28/12/2019,Tr,NO,SI,02,09,17,27,42,11
1951,28/12/2019,Re,NO,SI,01,09,20,33,41,09
1950,25/12/2019,Tr,NO,SI,21,30,35,36,41,02
1950,25/12/2019,Re,NO,SI,09,19,20,35,39,12
1949,21/12/2019,Tr,NO,SI,08,14,17,23,37,13
