idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1714,20/09/2017,Re,NO,SI,04,11,18,36,41,01
1715,23/09/2017,Tr,NO,SI,04,15,22,23,38,11
1715,23/09/2017,Re,NO,SI,23,24,30,34,41,01
1716,27/09/2017,Tr,NO,SI,01,10,28,35,41,04
1716,27/09/2017,Re,NO,SI,05,18,19,26,31,09
1717,30/09/2017,Tr,NO,SI,03,10,13,21,38,10
1717,30/09/2017,Re,NO,SI,17,23,24,36,38,01
1718,04/10/2017,Tr,NO,SI,24,31,32,33,34,06
1718,04/10/2017,Re,NO,SI,02,04,21,27,42,03
1719,07/10/2017,Tr,NO,SI,19,22,29,38,39,02
1719,07/10/2017,Re,NO,SI,13,16,24,35,36,12
1720,11/10/2017,Tr,NO,SI,02,10,21,23,35,09
1720,11/10/2017,Re,NO,SI,06,09,10,13,22,08
1721,14/10/2017,Tr,NO,SI,18,27,38,40,41,16
1721,14/10/2017,Re,NO,SI,02,21,31,34,42,01
1722,18/10/2017,Tr,NO,SI,17,26,27,28,40,07
1722,18/10/2017,Re,NO,SI,02,12,16,24,40,07
1723,21/10/2017,Tr,NO,SI,02,04,09,15,24,11
1723,21/10/2017,Re,NO,SI,11,12,19,32,33,03
1724,25/10/2017,Tr,NO,SI,11,21,31,32,39,01
1724,25/10/2017,Re,NO,SI,04,12,28,33,43,13
1725,28/10/2017,Tr,NO,SI,13,20,28,35,40,03
1725,28/10/2017,Re,NO,SI,05,22,24,33,43,12
1726,01/11/2017,Tr,NO,SI,22,24,28,34,42,08
1726,01/11/2017,Re,NO,SI,08,20,22,37,43,03
1727,04/11/2017,Tr,NO,SI,15,20,25,29,43,10
1727,04/11/2017,Re,NO,SI,10,19,20,21,24,10
1728,08/11/2017,Tr,NO,SI,02,04,10,17,37,06
1728,08/11/2017,Re,NO,SI,07,08,10,42,43,02
1729,11/11/2017,Tr,NO,SI,01,18,22,30,39,01
1729,11/11/2017,Re,NO,SI,09,13,14,17,34,08
1730,15/11/2017,Tr,NO,SI,11,18,23,32,40,02
1730,15/11/2017,Re,NO,SI,07,16,24,35,43,10
1731,18/11/2017,Tr,NO,SI,08,12,22,29,39,11
1731,18/11/2017,Re,NO,SI,03,06,07,28,40,07
1732,22/11/2017,Tr,NO,SI,09,12,18,37,41,13
1732,22/11/2017,Re,NO,SI,10,11,30,36,43,11
1733,25/11/2017,Tr,NO,SI,15,21,25,26,31,04
1733,25/11/2017,Re,NO,SI,01,10,14,34,42,15
1734,29/11/2017,Tr,NO,SI,02,05,07,09,28,13
1734,29/11/2017,Re,NO,SI,02,08,11,29,32,10
1735,02/12/2017,Tr,NO,SI,02,14,21,27,28,01
1735,02/12/2017,Re,NO,SI,02,14,27,37,41,03
1736,06/12/2017,Tr,NO,SI,03,23,28,29,32,02
1736,06/12/2017,Re,NO,SI,02,03,08,26,40,12
1737,09/12/2017,Tr,NO,SI,11,15,23,24,25,07
1737,09/12/2017,Re,NO,SI,04,29,36,38,39,02
1738,13/12/2017,Tr,NO,SI,11,23,33,36,42,04
1738,13/12/2017,Re,NO,SI,10,19,20,22,31,03
1739,16/12/2017,Tr,NO,SI,17,23,25,29,31,06
1739,16/12/2017,Re,NO,SI,01,04,05,23,26,12
